000am9932b	6	2	0	0	1	0	0	0	0	0	0	0	1	5	3	5
000c16lc82	15	5	1	6	1	0	1	2	1	1	0	2	1	8	6	9
000hpr0pqh	7	1	0	0	0	0	0	0	0	0	0	0	1	3	3	3
000o0iw8io	10	3	0	0	0	1	0	0	0	0	0	0	1	5	4	4
001rgcp156	58	15	2	0	0	1	0	0	0	0	4	0	1	12	6	11
002irv3nlk	4	2	0	0	1	1	0	0	0	0	0	0	1	4	3	4
004ccffjsz	30	20	1	2	2	0	1	0	1	0	0	0	1	12	6	11
005rvanmi3	16	12	4	0	1	0	0	0	0	0	0	0	1	5	4	5
006eagf8fd	18	6	2	0	0	0	0	1	0	0	0	1	1	12	6	12
006sfq0utd	16	6	1	5	2	0	1	0	1	1	0	0	1	9	7	11
006uylq80t	62	26	4	0	0	3	0	0	0	0	7	0	1	10	6	10
0079zeft0d	2	1	0	0	1	0	0	0	0	0	0	0	1	2	2	2
008q7a2ogx	8	1	1	0	0	0	0	0	0	0	0	0	1	5	5	5
00972lvbqx	7	3	1	0	1	0	0	0	0	0	1	0	1	6	4	6
009gpz5z0j	187	78	12	0	0	1	0	2	0	0	23	2	3	30	7	23
00bv9cwnj8	36	12	1	0	0	1	0	0	0	0	0	0	1	9	4	11
00g83yaxne	11	3	0	0	1	0	0	0	0	0	1	0	1	10	6	10
00gs4em8wx	35	14	2	0	1	1	0	0	0	0	2	0	2	20	7	17
00l5swp637	114	28	4	0	1	0	0	0	0	0	0	0	1	11	6	12
00lhcs1c7f	5	2	0	0	1	0	0	0	0	0	0	0	1	5	4	5
00mool0g9z	12	4	0	0	1	0	0	0	0	0	1	0	1	7	5	8
00o6czr3p2	30	10	0	0	1	0	0	0	0	0	0	0	1	10	6	10
00pzqs060k	64	19	3	6	2	1	1	2	1	1	2	2	3	27	8	24
00q46jjoml	10	3	1	0	0	0	0	0	0	0	0	0	1	5	4	5
00r4ho85ps	27	10	2	0	1	0	0	0	0	0	0	0	1	9	6	9
